Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/chart/starmeter/-1,100,361,304,422,504,1304,288,2346,100.000%,1.00981,2.74,0.54
/fb423e1ef94f/c3382d439950/916d943f6a58/inputs-3,100,308,289,344,431,580,270,581,69.000%,1.01515,1.09,0.49
/fb423e1ef94f/c3382d439950/916d943f6a58/inputs-4,100,315,266,272,274,870,250,4691,4.000%,1.01644,1.09,0.49
/fb423e1ef94f/c3382d439950/916d943f6a58/mp_verify-5,100,314,293,323,425,772,277,783,94.000%,1.01621,1.35,11.39
/fb423e1ef94f/c3382d439950/916d943f6a58/report-7,100,279,266,272,277,773,255,775,5.000%,1.01761,0.62,0.65
/chart/starmeter/-6,100,334,277,285,337,799,263,4816,9.000%,1.01754,2.76,0.57
/-57,100,48,33,62,121,336,28,599,2.000%,1.02016,0.61,0.59
/tr?fcn=IMDbNext-Client&ht=actionOnly&hr=https%3A%2F%2Fwww.imdb.com%2Fname%2Fnm0186505%2F%3Fref_%3Dtt_cst_t_1&isu=false&mid=A1EVAM02EL8SFB&ip=103.252.224.25&pa=referrer-correction&pt=chart&ref=referrer_correction&sid=138-5170172-6074708&st=1775643099531&spt=starmeter&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%3B+rv%3A149.0%29+Gecko%2F20100101+Firefox%2F149.0&pat=main&lang=en-US&cor=BD&sv=web&sc=200&sn=www.imdb.com&pi=%2Fchart%2Fstarmeter%2F&qs=ref_%3Dnm_nv_menu&rrid=814459C64D104959BC5A-60,100,47,34,81,136,249,27,275,0.000%,1.02144,0.57,1.05
/?operationName=RVI_Items&variables=%7B%22count%22%3A15%2C%22locale%22%3A%22en-US%22%7D&extensions=%7B%22persistedQuery%22%3A%7B%22sha256Hash%22%3A%2232eda43bfa1053f69036b945638fc4a0ae6cc4a2429de224b3185f8b0e37717b%22%2C%22version%22%3A1%7D%7D-69,100,14,11,14,16,65,8,307,1.000%,1.02398,0.70,0.88
/?operationName=NavBarFlyoutCTA&variables=%7B%22isLoggedIn%22%3Afalse%7D&extensions=%7B%22persistedQuery%22%3A%7B%22sha256Hash%22%3A%222a375844cd5537a920b43e49cdc95896542dc46aa8429e66b407bbe8a749b9c0%22%2C%22version%22%3A1%7D%7D-72,100,11,11,14,15,38,8,41,0.000%,1.02707,0.70,0.87
/tr?fcn=IMDbNext-Client&ht=actionOnly&hr=https%3A%2F%2Fwww.imdb.com%2Fname%2Fnm0186505%2F%3Fref_%3Dtt_cst_t_1&isu=false&mid=A1EVAM02EL8SFB&ip=103.252.224.25&pa=referrer-correction&pt=chart&ref=referrer_correction&sid=138-5170172-6074708&st=1775643099531&spt=starmeter&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%3B+rv%3A149.0%29+Gecko%2F20100101+Firefox%2F149.0&pat=main&lang=en-US&cor=BD&sv=web&sc=200&sn=www.imdb.com&pi=%2Fchart%2Fstarmeter%2F&qs=ref_%3Dnm_nv_menu&rrid=814459C64D104959BC5A-68,100,281,265,278,301,695,252,777,7.000%,1.02437,0.62,1.39
/?operationName=ChartLinks&variables=%7B%22locale%22%3A%22en-US%22%7D&extensions=%7B%22persistedQuery%22%3A%7B%22sha256Hash%22%3A%224b8efb5c74a0570df364982ef40f67135ce3ab9f0b46e4e303d701b62ee59556%22%2C%22version%22%3A1%7D%7D-70,100,47,34,77,92,157,27,636,1.000%,1.02718,0.70,0.87
/?operationName=NewsSidebar&variables=%7B%22first%22%3A5%2C%22locale%22%3A%22en-US%22%7D&extensions=%7B%22persistedQuery%22%3A%7B%22sha256Hash%22%3A%22817fcd4c67eaf17c91fb80f3ac6a455401a3a75f03ef50e69b0f52b904908b1e%22%2C%22version%22%3A1%7D%7D-71,100,13,10,13,19,94,8,98,0.000%,1.02847,0.70,0.89
/-74,100,21,12,28,55,132,10,348,1.000%,1.02892,11.08,1.09
/-75,100,20,12,21,42,147,9,332,1.000%,1.02981,1.93,1.08
/1/events/com.amazon.csm.customsg.prod-63,100,931,818,1101,1134,2379,782,5191,100.000%,1.02257,0.59,1.00
/-67,100,919,905,942,966,1225,391,3593,100.000%,1.02459,1.25,1.59
/1/batch/1/OP/A1EVAM02EL8SFB:138-5170172-6074708:XCDA7WWH7Z5KKHM9555A$uedata=s:undefined%3Fat%26v%3D0.343030.0%26id%3DXCDA7WWH7Z5KKHM9555A%26m%3D1%26sc%3Dcsa%3Avl50%26vl50%3D1303%26pc%3D2487%26at%3D2487%26t%3D1775643099550%26pty%3Dchart%26spty%3Dstarmeter%26pti%3Dundefined%26tid%3DV6TH9D51ZVMCXW4Z8X48%26aftb%3D1%26lob%3D6:2487-64,100,1334,1235,1304,1556,4659,1143,5529,100.000%,1.02145,0.22,0.84
