Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/1/batch/1/OP/A1EVAM02EL8SFB:138-5170172-6074708:XCDA7WWH7Z5KKHM9555A$uedata=s:undefined%3Fld%26v%3D0.343030.0%26id%3DXCDA7WWH7Z5KKHM9555A%26sc0%3DLoadAds%26bb0%3D3%26be0%3D789%26pc0%3D789%26ld0%3D789%26t0%3D1775643097852%26sc1%3DLoadStyledComponents%26bb1%3D789%26be1%3D826%26pc1%3D826%26ld1%3D826%26t1%3D1775643097889%26sc2%3DLoadFonts%26bb2%3D826%26be2%3D1290%26pc2%3D1291%26ld2%3D1291%26t2%3D1775643098354%26sc3%3DLoadIcons%26bb3%3D837%26be3%3D837%26pc3%3D837%26ld3%3D837%26t3%3D1775643097900%26sc4%3DimdbHeader%26bb4%3D876%26be4%3D890%26pc4%3D891%26ld4%3D891%26t4%3D1775643097954%26sc5%3DLoadFooterJS%26bb5%3D902%26be5%3D904%26pc5%3D904%26ld5%3D904%26t5%3D1775643097967%26sc6%3DcsmCELLSframework%26bb6%3D1001%26pc6%3D1001%26ld6%3D1001%26t6%3D1775643098064%26sc7%3DcsmCELLSpdm%26bb7%3D1001%26pc7%3D1155%26ld7%3D1155%26t7%3D1775643098218%26sc8%3DcsmCELLSvpm%26bb8%3D1155%26pc8%3D1155%26ld8%3D1155%26t8%3D1775643098218%26sc9%3DcsmCELLSfem%26bb9%3D1155%26pc9%3D1155%26ld9%3D1155%26t9%3D1775643098218%26sc10%3DadSlotMount%26bb10%3D2452%26pc10%3D2452%26ld10%3D2452%26t10%3D1775643099515%26sc11%3DMountReactJS%26pc11%3D2468%26ld11%3D2468%26t11%3D1775643099531%26ctb%3D1:2483-58,50,292,286,314,316,329,275,329,54.000%,.49995,0.11,0.82
/1/batch/1/OP/A1EVAM02EL8SFB:138-5170172-6074708:XCDA7WWH7Z5KKHM9555A$uedata=s:undefined%3Fat%26v%3D0.343030.0%26id%3DXCDA7WWH7Z5KKHM9555A%26m%3D1%26sc%3Dcsa%3Avl90%26vl90%3D1333%26pc%3D2487%26at%3D2487%26t%3D1775643099550%26pty%3Dchart%26spty%3Dstarmeter%26pti%3Dundefined%26tid%3DV6TH9D51ZVMCXW4Z8X48%26aftb%3D1%26lob%3D6:2488-61,50,293,287,315,317,330,273,330,56.000%,.49990,0.11,0.41
/1/batch/1/OP/A1EVAM02EL8SFB:138-5170172-6074708:XCDA7WWH7Z5KKHM9555A$uedata=s:undefined%3Fat%26v%3D0.343030.0%26id%3DXCDA7WWH7Z5KKHM9555A%26m%3D1%26sc%3Dcsa%3Avl100%26vl100%3D1344%26pc%3D2488%26at%3D2488%26t%3D1775643099551%26pty%3Dchart%26spty%3Dstarmeter%26pti%3Dundefined%26tid%3DV6TH9D51ZVMCXW4Z8X48%26aftb%3D1%26lob%3D6:2488-65,50,293,289,314,319,329,274,329,60.000%,.49985,0.11,0.41
/1/events/com.amazon.csm.csa.prod-62,50,284,284,291,297,304,272,304,42.000%,.49996,0.29,16.46
/1/batch/1/OP/A1EVAM02EL8SFB:138-5170172-6074708:XCDA7WWH7Z5KKHM9555A$uedata=s:undefined%3Fat%26v%3D0.343030.0%26id%3DXCDA7WWH7Z5KKHM9555A%26m%3D1%26sc%3Dcsa%3Alcp%26lcp%3D1259%26pc%3D2494%26at%3D2494%26t%3D1775643099557%26pty%3Dchart%26spty%3Dstarmeter%26pti%3Dundefined%26tid%3DV6TH9D51ZVMCXW4Z8X48%26aftb%3D1%26lob%3D6:2494-66,50,292,286,316,318,322,273,322,54.000%,.49983,0.11,0.41
/-73,50,686,830,853,859,874,320,874,100.000%,.49724,1.01,0.53
/1/batch/1/OP/A1EVAM02EL8SFB:138-5170172-6074708:XCDA7WWH7Z5KKHM9555A$uedata=s:undefined%3Fld%26v%3D0.343030.0%26id%3DXCDA7WWH7Z5KKHM9555A%26ctb%3D1%26sc0%3DadSlotMount%26bb0%3D2686%26pc0%3D2686%26ld0%3D2686%26t0%3D1775643099749%26pty%3Dchart%26spty%3Dstarmeter%26pti%3Dundefined%26tid%3DV6TH9D51ZVMCXW4Z8X48%26aftb%3D1%26lob%3D6:2686-77,50,292,289,313,317,328,275,328,56.000%,.49994,0.11,0.41
/1/events/com.amazon.csm.csa.prod-79,50,280,279,290,293,299,268,299,20.000%,.50009,0.29,5.64
/1/events/com.amazon.eel.katal.metrics.core.nexus-82,50,859,818,848,858,2131,784,2131,100.000%,.49737,0.29,0.57
/1/events/com.amazon.eel.katal.metrics.core.nexus-80,50,276,278,283,284,300,263,300,4.000%,.50025,0.29,0.57
/1/events/com.amazon.eel.katal.metrics.core.nexus-81,50,276,275,283,285,291,264,291,4.000%,.50023,0.29,0.58
/b-85,50,201,200,206,209,262,186,262,0.000%,.50066,0.21,0.37
/api/_ajax/metrics/ops/-84,50,349,284,338,420,2327,271,2327,46.000%,.49959,0.44,0.32
/-78,50,287,277,283,286,787,268,787,8.000%,.49959,1.36,0.26
/api/_ajax/metrics/ops/-86,50,315,285,387,444,692,273,692,48.000%,.49908,0.44,1.20
/1/batch/1/OP/A1EVAM02EL8SFB:138-5170172-6074708:XCDA7WWH7Z5KKHM9555A$uedata=s:undefined%3Fld%26v%3D0.343030.0%26id%3DXCDA7WWH7Z5KKHM9555A%26ctb%3D1%26sc0%3DLoadSis%26bb0%3D2644%26be0%3D2666%26pc0%3D5234%26ld0%3D5234%26t0%3D1775643102297%26pty%3Dchart%26spty%3Dstarmeter%26pti%3Dundefined%26tid%3DV6TH9D51ZVMCXW4Z8X48%26aftb%3D1%26lob%3D6:5234-87,50,304,286,317,320,924,274,924,56.000%,.49899,0.11,0.40
/1/events/com.amazon.csm.csa.prod-88,50,293,278,287,290,1007,267,1007,14.000%,.49917,0.29,2.45
/?operationName=WinnersWidget&variables=%7B%22enableOverride%22%3Afalse%2C%22locale%22%3A%22en-US%22%2C%22numWinners%22%3A3%7D&extensions=%7B%22persistedQuery%22%3A%7B%22sha256Hash%22%3A%2259ef847e86b1ffced67becd90fedcc8b5205c2b97bc5d581d712d8b9fe72c820%22%2C%22version%22%3A1%7D%7D-90,50,16,15,24,25,29,9,29,0.000%,.50047,0.34,0.45
/?operationName=ReactionsForEntities&variables=%7B%22aggregateEntityIds%22%3A%5B%22vi3829189401%22%2C%22vi3980249881%22%2C%22vi4046965529%22%2C%22vi1866058521%22%2C%22vi104712985%22%2C%22vi1178061593%22%2C%22vi1194838809%22%2C%22vi708299545%22%2C%22vi238996249%22%2C%22vi2050542361%22%5D%2C%22userEntityIds%22%3A%5B%5D%7D&extensions=%7B%22persistedQuery%22%3A%7B%22sha256Hash%22%3A%2260c3e6ca9f78c1562108efac862e83d46807e873ed461a3692959fa4c9a780e8%22%2C%22version%22%3A1%7D%7D-97,50,11,11,12,13,14,9,14,0.000%,.50047,0.34,0.54
/-91,50,11,11,14,15,18,9,18,0.000%,.50048,0.53,0.55
/-89,50,812,897,924,930,940,384,940,100.000%,.49595,0.61,0.75
/-92,50,703,824,851,856,865,324,865,100.000%,.49615,1.01,0.52
/1/events/com.amazon.eel.katal.metrics.core.nexus-94,50,304,279,289,290,939,267,939,16.000%,.49897,0.29,0.57
