Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/api/_ajax/metrics/ops/-339,50,347,307,395,439,1399,293,1399,100.000%,.51004,0.45,0.45
/-340,50,727,722,732,755,811,715,811,100.000%,.51466,23.08,0.23
/pagead/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938468~116991817~117384405&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&em=tv.1-371,50,172,167,192,205,223,156,223,100.000%,.51811,0.21,0.39
/pagead/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938468~116991817~117384405&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&_tu=CA&em=tv.1-374,50,74,74,81,82,101,66,101,0.000%,.51882,0.21,0.39
/ccm/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938468~116991817~117384405&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&em=tv.1-372,50,122,115,119,121,496,108,496,2.000%,.51863,0.42,0.38
/ccm/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115938466~115938468~116991817~117384405&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&em=tv.1-373,50,219,120,379,387,392,108,392,50.000%,.51860,0.42,0.38
/pagead/1p-conversion/721637365/?random=1775643182718&cv=11&fst=1775643182718&bg=ffffff&guid=ON&async=1&en=conversion&gtm=45be6461v9181659078z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115616986~115938466~115938468~116991817~117884344~118131810&u_w=1920&u_h=1080&url=https%3A%2F%2Fwww.rmit.edu.au%2F&label=JrZLCOW4pqkBEPWfjdgC&frm=0&tiba=RMIT%20University%3A%20A%20world%20leader%20in%20technology%2C%20design%20%26%20enterprise&bttype=purchase&value=0&hn=www.google.com&npa=0&pscdl=noapi&auid=1698757343.1775164957&_tu=CA&gcl_ctr=33~1~0~0&gap.last_random=1775641181221&gap.last_label=JrZLCOW4pqkBEPWfjdgC&gcp=1&sscte=1&ct_cookie_present=1&fmt=8-387,50,347,345,368,372,466,317,466,100.000%,.51778,2.40,2.56
/pagead/1p-conversion/721637365/-389,50,175,172,190,201,243,157,243,100.000%,.51886,1.38,1.92
/pagead/1p-conversion/721637365/-401,50,80,79,90,95,105,73,105,0.000%,.51933,0.30,0.96
/-430,50,51,47,71,89,111,37,111,0.000%,.51959,0.20,0.35
/SIE/-433,50,30,31,42,43,87,0,87,12.000%,.52003,2.39,0.21
/ee/v1/interact?configId=8f3d8bb7-7148-45d0-86d8-87cbb537de71&requestId=cb874a7b-44b9-45e5-861a-537aef812b72-431,50,653,649,674,677,699,630,699,100.000%,.51682,2.24,1.15
/canonical.html-434,50,113,109,129,137,143,96,143,0.000%,.51982,0.15,0.15
/success.txt-437,50,56,55,63,65,69,48,69,0.000%,.52020,0.11,0.16
/success.txt-436,50,56,55,63,65,68,48,68,0.000%,.52016,0.11,0.16
/v1/ingest-444,50,255,255,270,271,288,235,288,100.000%,.51903,0.15,0.25
/v1/config/46c8c7be486445e1a4c42d1b2392d91e-443,50,152,153,158,159,163,142,163,74.000%,.51973,0.42,0.23
/rp.gif-445,50,319,322,342,350,382,278,382,100.000%,.51896,0.44,0.41
/v1/ingest-446,50,156,154,160,165,227,146,227,82.000%,.51998,0.40,0.93
/rb_bf37093awt?type=js3&sn=v_4_srv_3_sn_659BF036609814552B7D96E989527272_perc_100000_ol_0_mul_1_app-3Aefa175a9be6e80f9_1&svrid=3&flavor=post&vi=PAMNTUJDBCFHADLMJCMTFMIEPWRCMASM-0&modifiedSince=1773840977167&bp=3&app=efa175a9be6e80f9&crc=2147228424&en=gdlxaxje&end=1-447,50,144,144,147,148,151,142,151,2.000%,.52003,0.53,0.64
